query_id,query,query_type,expected_movie_id,expected_title,bm25_hit@1,bm25_hit@3,bm25_hit@5,bm25_hit@10,bm25_mrr,bm25_top1,dense_hit@1,dense_hit@3,dense_hit@5,dense_hit@10,dense_mrr,dense_top1
11,movie about hustler and male prostitution in a drama setting,keyword_theme,201277,The Last Match,0,0,0,1,0.1667,Mysterious Skin,0,0,0,0,0.0,American Hustle
12,drama film released around 2013 with plot like cuba is not a country for young gays. teen rent boy reinier falls in love with a mate,year_constraint,201277,The Last Match,1,1,1,1,1.0,The Last Match,1,1,1,1,1.0,The Last Match
13,I remember a movie where a domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen,plot_memory,600583,The Power of the Dog,1,1,1,1,1.0,The Power of the Dog,1,1,1,1,1.0,The Power of the Dog
14,find a drama movie directed by Jane Campion with Benedict Cumberbatch and Kodi Smit-McPhee,cast_director,600583,The Power of the Dog,1,1,1,1,1.0,The Power of the Dog,0,0,0,0,0.0,Matinee
15,movie about husband wife relationship and based on novel or book in a drama setting,keyword_theme,600583,The Power of the Dog,0,0,0,0,0.0,My Week with Marilyn,0,0,0,0,0.0,The Wife
16,drama film released around 2021 with plot like a domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen,year_constraint,600583,The Power of the Dog,1,1,1,1,1.0,The Power of the Dog,1,1,1,1,1.0,The Power of the Dog
17,I remember a movie where seventeen-year-old stella spends most of her time in the hospital as a cystic fibrosis patient. her life is,plot_memory,527641,Five Feet Apart,1,1,1,1,1.0,Five Feet Apart,1,1,1,1,1.0,Five Feet Apart
18,find a romance movie directed by Justin Baldoni with Haley Lu Richardson and Cole Sprouse,cast_director,527641,Five Feet Apart,1,1,1,1,1.0,Five Feet Apart,0,0,0,1,0.1111,A Lot Like Love
19,movie about forbidden love and terminal illness in a romance setting,keyword_theme,527641,Five Feet Apart,1,1,1,1,1.0,Five Feet Apart,0,0,0,1,0.1429,Love Is Overrated
20,romance film released around 2019 with plot like seventeen-year-old stella spends most of her time in the hospital as a cystic fibrosis patient. her life is,year_constraint,527641,Five Feet Apart,1,1,1,1,1.0,Five Feet Apart,1,1,1,1,1.0,Five Feet Apart
21,"I remember a movie where george, host of a television show focusing on literature, receives videos shot on the sly that feature his",plot_memory,445,Caché,1,1,1,1,1.0,Caché,1,1,1,1,1.0,Caché
22,find a mystery movie directed by Michael Haneke with Daniel Auteuil and Juliette Binoche,cast_director,445,Caché,1,1,1,1,1.0,Caché,0,0,0,0,0.0,Code Unknown
23,movie about dreams and paris in a mystery setting,keyword_theme,445,Caché,0,0,0,0,0.0,Big Time Movie,0,0,0,0,0.0,The Science of Sleep
24,"mystery film released around 2005 with plot like george, host of a television show focusing on literature, receives videos shot on the sly that feature his",year_constraint,445,Caché,1,1,1,1,1.0,Caché,1,1,1,1,1.0,Caché
25,"I remember a movie where socially awkward muriel heslop wants nothing more than to get married. unfortunately, due to her oppressive politician father,",plot_memory,236,Muriel's Wedding,1,1,1,1,1.0,Muriel's Wedding,1,1,1,1,1.0,Muriel's Wedding
26,find a comedy movie directed by P.J. Hogan with Toni Collette and Bill Hunter,cast_director,236,Muriel's Wedding,1,1,1,1,1.0,Muriel's Wedding,0,0,0,0,0.0,Matinee
27,movie about daughter and individual in a comedy setting,keyword_theme,236,Muriel's Wedding,0,0,0,0,0.0,Naruto the Movie: Ninja Clash in the Land of Snow,0,0,0,0,0.0,Home Makeover
28,"comedy film released around 1994 with plot like socially awkward muriel heslop wants nothing more than to get married. unfortunately, due to her oppressive politician father,",year_constraint,236,Muriel's Wedding,1,1,1,1,1.0,Muriel's Wedding,1,1,1,1,1.0,Muriel's Wedding
29,"I remember a movie where in a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close",plot_memory,13183,Watchmen,1,1,1,1,1.0,Watchmen,1,1,1,1,1.0,Watchmen
30,find a mystery movie directed by Zack Snyder with Malin Åkerman and Patrick Wilson,cast_director,13183,Watchmen,1,1,1,1,1.0,Watchmen,0,0,0,0,0.0,DC Showcase - Constantine: The House of Mystery
31,movie about usa president and nuclear war in a mystery setting,keyword_theme,13183,Watchmen,1,1,1,1,1.0,Watchmen,0,0,0,0,0.0,Unthinkable
32,"mystery film released around 2009 with plot like in a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close",year_constraint,13183,Watchmen,1,1,1,1,1.0,Watchmen,1,1,1,1,1.0,Watchmen
33,"I remember a movie where zephyr, now known as z, rides the seas with only one goal: destroy all pirates and their dreams",plot_memory,176983,One Piece Film: Z,1,1,1,1,1.0,One Piece Film: Z,1,1,1,1,1.0,One Piece Film: Z
34,find a animation movie directed by Tatsuya Nagamine with Mayumi Tanaka and Kazuya Nakai,cast_director,176983,One Piece Film: Z,0,1,1,1,0.5,One Piece: Heart of Gold,0,0,0,0,0.0,Program
35,movie about mentor and tragic villain in a animation setting,keyword_theme,176983,One Piece Film: Z,0,1,1,1,0.3333,Escaflowne: The Movie,0,0,0,0,0.0,Mad God
36,"animation film released around 2012 with plot like zephyr, now known as z, rides the seas with only one goal: destroy all pirates and their dreams",year_constraint,176983,One Piece Film: Z,1,1,1,1,1.0,One Piece Film: Z,1,1,1,1,1.0,One Piece Film: Z
37,"I remember a movie where when a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment.",plot_memory,44048,Unstoppable,1,1,1,1,1.0,Unstoppable,1,1,1,1,1.0,Unstoppable
38,find a action movie directed by Tony Scott with Denzel Washington and Chris Pine,cast_director,44048,Unstoppable,1,1,1,1,1.0,Unstoppable,0,0,0,0,0.0,Déjà Vu
39,movie about pennsylvania and usa in a action setting,keyword_theme,44048,Unstoppable,0,0,0,0,0.0,Shooter,0,0,0,0,0.0,Hawaiian Vacation
40,"action film released around 2010 with plot like when a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment.",year_constraint,44048,Unstoppable,1,1,1,1,1.0,Unstoppable,0,1,1,1,0.5,Bullet Train Explosion
41,"I remember a movie where in 1989, prostitute aileen wuornos befriends and enters a relationship with a young woman named selby. determined to",plot_memory,504,Monster,1,1,1,1,1.0,Monster,1,1,1,1,1.0,Monster
42,find a crime movie directed by Patty Jenkins with Charlize Theron and Christina Ricci,cast_director,504,Monster,1,1,1,1,1.0,Monster,0,0,0,0,0.0,Crime 101
43,movie about death penalty and prostitute in a crime setting,keyword_theme,504,Monster,0,1,1,1,0.5,78/52,0,0,0,0,0.0,A Crime in Paradise
44,"crime film released around 2003 with plot like in 1989, prostitute aileen wuornos befriends and enters a relationship with a young woman named selby. determined to",year_constraint,504,Monster,1,1,1,1,1.0,Monster,1,1,1,1,1.0,Monster
45,I remember a movie where a troubled woman living in an isolated community finds herself pulled between the control of her oppressive family,plot_memory,470918,Beast,1,1,1,1,1.0,Beast,0,0,0,0,0.0,Dogville
46,find a mystery movie directed by Michael Pearce with Jessie Buckley and Johnny Flynn,cast_director,470918,Beast,1,1,1,1,1.0,Beast,1,1,1,1,1.0,Beast
47,movie about island and beach in a mystery setting,keyword_theme,470918,Beast,0,0,0,0,0.0,Inuyasha the Movie 4: Fire on the Mystic Island,0,0,0,0,0.0,Shutter Island
48,mystery film released around 2018 with plot like a troubled woman living in an isolated community finds herself pulled between the control of her oppressive family,year_constraint,470918,Beast,1,1,1,1,1.0,Beast,0,1,1,1,0.5,Freaks
49,I remember a movie where ten-year-old laure isn't like most girls. she prefers football to dolls and sweaters to dresses. when laure and,plot_memory,65229,Tomboy,1,1,1,1,1.0,Tomboy,1,1,1,1,1.0,Tomboy
50,find a drama movie directed by Céline Sciamma with Zoé Héran and Malonn Lévana,cast_director,65229,Tomboy,0,0,0,0,0.0,Green Book,0,0,0,0,0.0,Electroma
51,movie about sexual identity and coming of age in a drama setting,keyword_theme,65229,Tomboy,0,0,0,1,0.125,"Love, Simon",0,0,0,0,0.0,The Age of Innocence
52,drama film released around 2011 with plot like ten-year-old laure isn't like most girls. she prefers football to dolls and sweaters to dresses. when laure and,year_constraint,65229,Tomboy,1,1,1,1,1.0,Tomboy,1,1,1,1,1.0,Tomboy
53,I remember a movie where this movie chronicles the life and times of r. crumb. robert crumb is the cartoonist/artist who drew keep,plot_memory,26564,Crumb,1,1,1,1,1.0,Crumb,1,1,1,1,1.0,Crumb
54,find a documentary movie directed by Terry Zwigoff with Robert Crumb and Aline Kominsky,cast_director,26564,Crumb,1,1,1,1,1.0,Crumb,0,0,1,1,0.25,Zeitgeist: The Movie
55,movie about underground and san francisco in a documentary setting,keyword_theme,26564,Crumb,1,1,1,1,1.0,Crumb,0,0,0,0,0.0,Underground
56,documentary film released around 1995 with plot like this movie chronicles the life and times of r. crumb. robert crumb is the cartoonist/artist who drew keep,year_constraint,26564,Crumb,1,1,1,1,1.0,Crumb,1,1,1,1,1.0,Crumb
57,I remember a movie where it's 1974. muhammad ali is 32 and thought by many to be past his prime. george foreman is,plot_memory,10548,When We Were Kings,1,1,1,1,1.0,When We Were Kings,1,1,1,1,1.0,When We Were Kings
58,find a documentary movie directed by Leon Gast with Muhammad Ali and George Foreman,cast_director,10548,When We Were Kings,1,1,1,1,1.0,When We Were Kings,0,1,1,1,0.5,Zeitgeist: The Movie
59,movie about africa and boxer in a documentary setting,keyword_theme,10548,When We Were Kings,1,1,1,1,1.0,When We Were Kings,0,0,0,1,0.1429,Chimpanzee
60,documentary film released around 1996 with plot like it's 1974. muhammad ali is 32 and thought by many to be past his prime. george foreman is,year_constraint,10548,When We Were Kings,1,1,1,1,1.0,When We Were Kings,1,1,1,1,1.0,When We Were Kings
61,I remember a movie where the creators of wallace & gromit bring you an exciting and original story about a group of chickens,plot_memory,7443,Chicken Run,1,1,1,1,1.0,Chicken Run,1,1,1,1,1.0,Chicken Run
62,find a animation movie directed by Peter Lord with Julia Sawalha and Mel Gibson,cast_director,7443,Chicken Run,1,1,1,1,1.0,Chicken Run,0,0,0,0,0.0,The Passion of the Christ
63,movie about farm and northern england in a animation setting,keyword_theme,7443,Chicken Run,1,1,1,1,1.0,Chicken Run,0,0,0,0,0.0,A Shaun the Sheep Movie: Farmageddon
64,animation film released around 2000 with plot like the creators of wallace & gromit bring you an exciting and original story about a group of chickens,year_constraint,7443,Chicken Run,1,1,1,1,1.0,Chicken Run,1,1,1,1,1.0,Chicken Run
65,"I remember a movie where inspired by true events, this film takes place in rwanda in the 1990s when more than a million",plot_memory,205,Hotel Rwanda,1,1,1,1,1.0,Hotel Rwanda,1,1,1,1,1.0,Hotel Rwanda
66,find a drama movie directed by Terry George with Don Cheadle and Sophie Okonedo,cast_director,205,Hotel Rwanda,1,1,1,1,1.0,Hotel Rwanda,0,0,0,0,0.0,The Dandelions
67,movie about rwanda and refugee in a drama setting,keyword_theme,205,Hotel Rwanda,1,1,1,1,1.0,Hotel Rwanda,1,1,1,1,1.0,Hotel Rwanda
68,"drama film released around 2004 with plot like inspired by true events, this film takes place in rwanda in the 1990s when more than a million",year_constraint,205,Hotel Rwanda,1,1,1,1,1.0,Hotel Rwanda,1,1,1,1,1.0,Hotel Rwanda
69,"I remember a movie where annie's life is a mess. but when she finds out her lifetime best friend is engaged, she simply",plot_memory,55721,Bridesmaids,1,1,1,1,1.0,Bridesmaids,1,1,1,1,1.0,Bridesmaids
70,find a comedy movie directed by Paul Feig with Kristen Wiig and Maya Rudolph,cast_director,55721,Bridesmaids,1,1,1,1,1.0,Bridesmaids,0,0,0,0,0.0,The Holiday
71,movie about jealousy and parent child relationship in a comedy setting,keyword_theme,55721,Bridesmaids,0,0,0,0,0.0,The Thirteenth Year,0,0,0,0,0.0,This Boy's Life
72,"comedy film released around 2011 with plot like annie's life is a mess. but when she finds out her lifetime best friend is engaged, she simply",year_constraint,55721,Bridesmaids,1,1,1,1,1.0,Bridesmaids,1,1,1,1,1.0,Bridesmaids
73,"I remember a movie where over a month has passed since 10,000 users were trapped inside the ""sword art online"" world. asuna, who",plot_memory,893712,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,1,1,1,1,1.0,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,1,1,1,1,1.0,Sword Art Online the Movie – Progressive – Scherzo of Deep Night
74,find a animation movie directed by Ayako Kono with Haruka Tomatsu and Yoshitsugu Matsuoka,cast_director,893712,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,0,1,1,1,0.5,Sword Art Online the Movie - Progressive - Aria of a Starless Night,0,0,0,0,0.0,Program
75,movie about monster and virtual reality in a animation setting,keyword_theme,893712,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,0,1,1,1,0.5,Sword Art Online the Movie - Progressive - Aria of a Starless Night,0,0,0,0,0.0,A Monster Calls
76,"animation film released around 2022 with plot like over a month has passed since 10,000 users were trapped inside the ""sword art online"" world. asuna, who",year_constraint,893712,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,1,1,1,1,1.0,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,1,1,1,1,1.0,Sword Art Online the Movie – Progressive – Scherzo of Deep Night
77,"I remember a movie where remy, a rat living in paris, possesses a palate far more refined than that of his fellow comrades.",plot_memory,2062,Ratatouille,1,1,1,1,1.0,Ratatouille,1,1,1,1,1.0,Ratatouille
78,find a animation movie directed by Brad Bird with Patton Oswalt and Ian Holm,cast_director,2062,Ratatouille,1,1,1,1,1.0,Ratatouille,0,0,0,0,0.0,That's Life
79,movie about work and sibling relationship in a animation setting,keyword_theme,2062,Ratatouille,0,0,0,0,0.0,Matriculated,0,0,0,0,0.0,The Boss Baby: Family Business
80,"animation film released around 2007 with plot like remy, a rat living in paris, possesses a palate far more refined than that of his fellow comrades.",year_constraint,2062,Ratatouille,1,1,1,1,1.0,Ratatouille,1,1,1,1,1.0,Ratatouille
81,"I remember a movie where a historical drama set in roman egypt, concerning philosopher hypatia of alexandria and her relationship with her slave",plot_memory,26428,Agora,1,1,1,1,1.0,Agora,1,1,1,1,1.0,Agora
82,find a adventure movie directed by Alejandro Amenábar with Rachel Weisz and Max Minghella,cast_director,26428,Agora,1,1,1,1,1.0,Agora,0,0,0,0,0.0,Babel
83,movie about egypt and new love in a adventure setting,keyword_theme,26428,Agora,1,1,1,1,1.0,Agora,0,1,1,1,0.3333,The Prince of Egypt
84,"adventure film released around 2009 with plot like a historical drama set in roman egypt, concerning philosopher hypatia of alexandria and her relationship with her slave",year_constraint,26428,Agora,1,1,1,1,1.0,Agora,1,1,1,1,1.0,Agora
85,"I remember a movie where dr. drakken has an evil new plot for world domination, but his ultimate success depends upon finding out",plot_memory,20771,Kim Possible Movie: So the Drama,1,1,1,1,1.0,Kim Possible Movie: So the Drama,1,1,1,1,1.0,Kim Possible Movie: So the Drama
86,find a animation movie directed by Steve Loter with Christy Carlson Romano and Will Friedle,cast_director,20771,Kim Possible Movie: So the Drama,0,1,1,1,0.5,Kim Possible: A Sitch In Time,0,0,0,0,0.0,Steve Jobs
87,movie about high school and martial arts in a animation setting,keyword_theme,20771,Kim Possible Movie: So the Drama,0,0,1,1,0.25,The Lego Ninjago Movie,0,0,0,0,0.0,The Lego Ninjago Movie
88,"animation film released around 2005 with plot like dr. drakken has an evil new plot for world domination, but his ultimate success depends upon finding out",year_constraint,20771,Kim Possible Movie: So the Drama,1,1,1,1,1.0,Kim Possible Movie: So the Drama,1,1,1,1,1.0,Kim Possible Movie: So the Drama
89,"I remember a movie where the remarkable story of brazilian racing driver ayrton senna, charting his physical and spiritual achievements on the track",plot_memory,58496,Senna,1,1,1,1,1.0,Senna,1,1,1,1,1.0,Senna
90,find a documentary movie directed by Asif Kapadia with Ayrton Senna and Alain Prost,cast_director,58496,Senna,1,1,1,1,1.0,Senna,1,1,1,1,1.0,Senna
91,movie about sports car and competition in a documentary setting,keyword_theme,58496,Senna,1,1,1,1,1.0,Senna,0,0,0,1,0.1429,Cars 3
92,"documentary film released around 2010 with plot like the remarkable story of brazilian racing driver ayrton senna, charting his physical and spiritual achievements on the track",year_constraint,58496,Senna,1,1,1,1,1.0,Senna,1,1,1,1,1.0,Senna
93,"I remember a movie where 1938. while the nazi troops march into vienna, the lawyer josef bartok hastily tries to escape to the",plot_memory,748787,The Royal Game,1,1,1,1,1.0,The Royal Game,1,1,1,1,1.0,The Royal Game
94,find a history movie directed by Philipp Stölzl with Oliver Masucci and Albrecht Schuch,cast_director,748787,The Royal Game,1,1,1,1,1.0,The Royal Game,0,0,0,0,0.0,Medieval
95,movie about chess and world war ii in a history setting,keyword_theme,748787,The Royal Game,1,1,1,1,1.0,The Royal Game,1,1,1,1,1.0,The Royal Game
96,"history film released around 2021 with plot like 1938. while the nazi troops march into vienna, the lawyer josef bartok hastily tries to escape to the",year_constraint,748787,The Royal Game,1,1,1,1,1.0,The Royal Game,1,1,1,1,1.0,The Royal Game
97,"I remember a movie where in the remote and undeveloped eastern black sea region, a six-year-old boy (yusuf) wanders through the woods searching",plot_memory,44160,Honey,1,1,1,1,1.0,Honey,1,1,1,1,1.0,Honey
98,find a drama movie directed by Semih Kaplanoğlu with Bora Altaş and Erdal Beşikçioğlu,cast_director,44160,Honey,1,1,1,1,1.0,Honey,0,0,0,0,0.0,Vikram
99,movie about drama and drama in a drama setting,keyword_theme,44160,Honey,0,0,0,0,0.0,The Artist,0,0,0,0,0.0,Romeo + Juliet
100,"drama film released around 2010 with plot like in the remote and undeveloped eastern black sea region, a six-year-old boy (yusuf) wanders through the woods searching",year_constraint,44160,Honey,1,1,1,1,1.0,Honey,1,1,1,1,1.0,Honey
101,I remember a movie where navy seal lieutenant a.k. waters and his elite squadron of tactical specialists are forced to choose between their,plot_memory,9567,Tears of the Sun,1,1,1,1,1.0,Tears of the Sun,0,0,0,0,0.0,One Shot
102,find a war movie directed by Antoine Fuqua with Bruce Willis and Monica Bellucci,cast_director,9567,Tears of the Sun,1,1,1,1,1.0,Tears of the Sun,0,0,0,1,0.1429,Allied
103,movie about civil war and war crimes in a war setting,keyword_theme,9567,Tears of the Sun,0,0,0,0,0.0,Civil War,0,0,0,0,0.0,Cold Mountain
104,war film released around 2003 with plot like navy seal lieutenant a.k. waters and his elite squadron of tactical specialists are forced to choose between their,year_constraint,9567,Tears of the Sun,1,1,1,1,1.0,Tears of the Sun,0,0,0,0,0.0,One Shot
105,I remember a movie where in the heat of the summer lays a lonesome house in the countryside where nine year old twin,plot_memory,284303,Goodnight Mommy,1,1,1,1,1.0,Goodnight Mommy,1,1,1,1,1.0,Goodnight Mommy
106,find a horror movie directed by Severin Fiala with Elias Schwarz and Lukas Schwarz,cast_director,284303,Goodnight Mommy,1,1,1,1,1.0,Goodnight Mommy,1,1,1,1,1.0,Goodnight Mommy
107,movie about mask and fire in a horror setting,keyword_theme,284303,Goodnight Mommy,0,1,1,1,0.5,Constantine: City of Demons - The Movie,0,0,0,0,0.0,Scream
108,horror film released around 2015 with plot like in the heat of the summer lays a lonesome house in the countryside where nine year old twin,year_constraint,284303,Goodnight Mommy,1,1,1,1,1.0,Goodnight Mommy,1,1,1,1,1.0,Goodnight Mommy
109,"I remember a movie where in los angeles, a wealthy man, known as mr. fuller, discovers a shocking secret about the world he",plot_memory,1090,The Thirteenth Floor,1,1,1,1,1.0,The Thirteenth Floor,1,1,1,1,1.0,The Thirteenth Floor
110,find a thriller movie directed by Josef Rusnak with Craig Bierko and Armin Mueller-Stahl,cast_director,1090,The Thirteenth Floor,1,1,1,1,1.0,The Thirteenth Floor,0,0,1,1,0.2,Cargo 200
111,movie about artificial intelligence (a.i.) and based on novel or book in a thriller setting,keyword_theme,1090,The Thirteenth Floor,0,1,1,1,0.5,Cloud Atlas,0,0,1,1,0.2,The Creator
112,"thriller film released around 1999 with plot like in los angeles, a wealthy man, known as mr. fuller, discovers a shocking secret about the world he",year_constraint,1090,The Thirteenth Floor,1,1,1,1,1.0,The Thirteenth Floor,1,1,1,1,1.0,The Thirteenth Floor
113,"I remember a movie where on the brink of losing her childhood home, maddie discovers an intriguing job listing: wealthy helicopter parents looking",plot_memory,884605,No Hard Feelings,1,1,1,1,1.0,No Hard Feelings,1,1,1,1,1.0,No Hard Feelings
114,find a comedy movie directed by Gene Stupnitsky with Jennifer Lawrence and Andrew Barth Feldman,cast_director,884605,No Hard Feelings,1,1,1,1,1.0,No Hard Feelings,1,1,1,1,1.0,No Hard Feelings
115,movie about friendship and older woman seduces younger guy in a comedy setting,keyword_theme,884605,No Hard Feelings,1,1,1,1,1.0,No Hard Feelings,0,0,0,0,0.0,Old School
116,"comedy film released around 2023 with plot like on the brink of losing her childhood home, maddie discovers an intriguing job listing: wealthy helicopter parents looking",year_constraint,884605,No Hard Feelings,1,1,1,1,1.0,No Hard Feelings,1,1,1,1,1.0,No Hard Feelings
117,"I remember a movie where mia hall, a talented young cellist, thought the most difficult decision she would ever have to make would",plot_memory,249164,If I Stay,1,1,1,1,1.0,If I Stay,1,1,1,1,1.0,If I Stay
118,find a drama movie directed by R. J. Cutler with Chloë Grace Moretz and Jamie Blackley,cast_director,249164,If I Stay,1,1,1,1,1.0,If I Stay,0,0,0,0,0.0,Labor Day
119,movie about coma and based on novel or book in a drama setting,keyword_theme,249164,If I Stay,0,0,1,1,0.25,My Week with Marilyn,0,0,0,0,0.0,Awakenings
120,"drama film released around 2014 with plot like mia hall, a talented young cellist, thought the most difficult decision she would ever have to make would",year_constraint,249164,If I Stay,1,1,1,1,1.0,If I Stay,1,1,1,1,1.0,If I Stay
121,"I remember a movie where with the aid of his girlfriend, phyllis potter, and best friend, loomis, grimm enters a manhattan bank dressed",plot_memory,10729,Quick Change,1,1,1,1,1.0,Quick Change,1,1,1,1,1.0,Quick Change
122,find a comedy movie directed by Howard Franklin with Bill Murray and Geena Davis,cast_director,10729,Quick Change,1,1,1,1,1.0,Quick Change,0,0,0,0,0.0,What About Bob?
123,movie about new york city and heist in a comedy setting,keyword_theme,10729,Quick Change,0,0,0,0,0.0,Anora,0,0,0,1,0.1667,Manhattan Murder Mystery
124,"comedy film released around 1990 with plot like with the aid of his girlfriend, phyllis potter, and best friend, loomis, grimm enters a manhattan bank dressed",year_constraint,10729,Quick Change,1,1,1,1,1.0,Quick Change,1,1,1,1,1.0,Quick Change
125,"I remember a movie where for twenty years, bruno and malik have lived in a different world—the world of autistic children and teens.",plot_memory,579245,The Specials,1,1,1,1,1.0,The Specials,1,1,1,1,1.0,The Specials
126,find a comedy movie directed by Éric Toledano with Vincent Cassel and Reda Kateb,cast_director,579245,The Specials,1,1,1,1,1.0,The Specials,0,0,0,0,0.0,That's Life
127,movie about social worker and autism in a comedy setting,keyword_theme,579245,The Specials,1,1,1,1,1.0,The Specials,0,1,1,1,0.5,Psych: The Movie
128,"comedy film released around 2019 with plot like for twenty years, bruno and malik have lived in a different world—the world of autistic children and teens.",year_constraint,579245,The Specials,1,1,1,1,1.0,The Specials,1,1,1,1,1.0,The Specials
129,"I remember a movie where having suffered a tragedy, ben becomes a caregiver to earn money. his first client, trevor, is a hilarious",plot_memory,318121,The Fundamentals of Caring,1,1,1,1,1.0,The Fundamentals of Caring,1,1,1,1,1.0,The Fundamentals of Caring
130,find a comedy movie directed by Rob Burnett with Paul Rudd and Craig Roberts,cast_director,318121,The Fundamentals of Caring,1,1,1,1,1.0,The Fundamentals of Caring,0,0,0,1,0.1,Jimmy Carr: Funny Business
131,movie about wheelchair and affectation in a comedy setting,keyword_theme,318121,The Fundamentals of Caring,0,0,0,0,0.0,Naruto the Movie: Ninja Clash in the Land of Snow,0,1,1,1,0.5,The Upside
132,"comedy film released around 2016 with plot like having suffered a tragedy, ben becomes a caregiver to earn money. his first client, trevor, is a hilarious",year_constraint,318121,The Fundamentals of Caring,1,1,1,1,1.0,The Fundamentals of Caring,1,1,1,1,1.0,The Fundamentals of Caring
133,"I remember a movie where as storm season intensifies, the paths of former storm chaser kate carter and reckless social-media superstar tyler owens",plot_memory,718821,Twisters,1,1,1,1,1.0,Twisters,1,1,1,1,1.0,Twisters
134,find a action movie directed by Lee Isaac Chung with Daisy Edgar-Jones and Glen Powell,cast_director,718821,Twisters,1,1,1,1,1.0,Twisters,0,0,0,0,0.0,Dragon: The Bruce Lee Story
135,movie about dying and death and rodeo in a action setting,keyword_theme,718821,Twisters,1,1,1,1,1.0,Twisters,0,0,0,0,0.0,Dead Man
136,"action film released around 2024 with plot like as storm season intensifies, the paths of former storm chaser kate carter and reckless social-media superstar tyler owens",year_constraint,718821,Twisters,1,1,1,1,1.0,Twisters,1,1,1,1,1.0,Twisters
137,"I remember a movie where the school year is finally ending, and t.j. detweiler is looking forward to summer. but boredom quickly sets",plot_memory,19405,Recess: School's Out,1,1,1,1,1.0,Recess: School's Out,1,1,1,1,1.0,Recess: School's Out
138,find a family movie directed by Chuck Sheetz with Andrew Lawrence and Rickey D'Shon Collins,cast_director,19405,Recess: School's Out,1,1,1,1,1.0,Recess: School's Out,0,0,0,0,0.0,The Boss Baby: Family Business
139,movie about holiday and elementary school in a family setting,keyword_theme,19405,Recess: School's Out,1,1,1,1,1.0,Recess: School's Out,0,1,1,1,0.3333,Le Pupille
140,"family film released around 2001 with plot like the school year is finally ending, and t.j. detweiler is looking forward to summer. but boredom quickly sets",year_constraint,19405,Recess: School's Out,1,1,1,1,1.0,Recess: School's Out,1,1,1,1,1.0,Recess: School's Out
141,I remember a movie where oleg is a young gifted paramedic. his wife katya works as a nurse at the hospital emergency department.,plot_memory,457842,Arrhythmia,1,1,1,1,1.0,Arrhythmia,1,1,1,1,1.0,Arrhythmia
142,find a drama movie directed by Boris Khlebnikov with Aleksandr Yatsenko and Irina Gorbacheva,cast_director,457842,Arrhythmia,1,1,1,1,1.0,Arrhythmia,0,0,0,0,0.0,Dear Comrades!
143,movie about nurse and alcohol in a drama setting,keyword_theme,457842,Arrhythmia,0,0,1,1,0.25,Babylon,0,0,0,0,0.0,The Good Nurse
